id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2992450,Luxury 2 bedroom apartment,4621559,Kenneth,,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,9,2022-08-17,0.07,1,159,0,
3820211,Funky Urban Gem: Prime Central Location - Parking!,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,104,2,311,2025-08-04,2.31,5,339,6,
5651579,Large studio apt  by Capital Center & ESP@,29288920,Gregg,,SECOND WARD,42.64615,-73.75966,Entire home/apt,75,2,372,2025-08-04,2.96,2,16,6,
6623339,Cozy City Stay · Free Parking + Walkable Location,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,92,2,332,2025-06-30,2.66,5,348,4,
9005989,"Studio in The heart of Center SQ, in Albany NY",17766924,Sugey,,SIXTH WARD,42.65559,-73.76506,Entire home/apt,86,1,623,2025-08-03,5.63,1,217,25,
9501054,Spacious suite with full bath by Capital  Center,29288920,Gregg,,SECOND WARD,42.64734,-73.75851,Private room,59,1,431,2025-08-13,3.69,2,234,39,
10768745,Alb hospital area studio bath wifi. (Red),5691268,Elizabeth,,FOURTEENTH WARD,42.66078,-73.80553,Private room,47,1,833,2025-08-21,7.14,2,149,131,
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,Peter,,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,184,1,207,2025-08-18,1.83,8,340,49,
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,Abdullah,,ELEVENTH WARD,42.67583,-73.78297,Private room,55,15,231,2024-02-29,2.05,2,364,0,
12799126,Private Room in the Hearth of the Albany,69729286,Musab,,SIXTH WARD,42.65154,-73.76867,Private room,47,5,29,2025-08-09,0.47,2,279,1,
13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms,1364123,Akhilesh,,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,192,2025-08-18,1.72,1,344,9,
14316232,"Unique Modern Room, Perfect Location Albany",36438637,Chad,,TENTH WARD,42.65726,-73.78219,Private room,45,18,54,2025-05-08,0.49,2,340,3,
14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,4259750,Peter,,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,204,1,119,2025-08-10,1.11,8,355,19,
15580397,Albany Medical/Downtown Albany/Colleges/ ROOM H,89705052,Share,,NINTH WARD,42.65651,-73.77887,Private room,54,2,50,2025-08-29,0.50,2,118,6,
16531782,On a little park in Albany pine hills. (Blue),5691268,Elizabeth,,FOURTEENTH WARD,42.66075,-73.80605,Private room,60,1,512,2025-07-26,7.97,2,346,82,
17238066,"$53($25 foreign student)Twin, noa/cno
Smoke freeBF",61700428,Abdullah,,FIFTH WARD,42.67614,-73.78169,Private room,,15,132,2024-08-01,1.29,2,364,0,
17514620,Cozy Modern Room Perfect Location Albany,36438637,Chad,,TENTH WARD,42.6584,-73.78309,Private room,41,18,56,2024-11-02,0.54,2,332,2,
